image,xmin,ymin,xmax,ymax,label
Drone_020.mp4#t=4.5,648.2183908045978,1048.4204642248724,693.0603448275862,1257.704961669506,stand
Drone_020.mp4#t=4.5,573.3764367816093,1027.4776405451448,621.4798850574713,1227.1747231686545,stand
Drone_020.mp4#t=4.5,2841.8921558277025,1005.1462301297563,2875.9053878096843,1127.8358514477636,stand
Drone_020.mp4#t=4.5,2854.973166525901,819.340989809329,2889.324588260135,924.3354648646113,stand
Drone_020.mp4#t=4.5,2884.202825872748,712.8054072096128,2936.918901323198,794.859901092081,sit
Drone_020.mp4#t=4.5,2638.8649880349103,681.1732309746327,2676.0676203547296,789.6554618397446,walk
Drone_020.mp4#t=4.5,2766.337890625,501.76203362295564,2796.229852899775,614.0157579898197,walk
Drone_020.mp4#t=4.5,3147.067761120496,618.8686934141355,3169.148631052928,689.3111518482975,sit
Drone_020.mp4#t=4.5,3228.905458192568,572.1369019369574,3246.2840477195946,640.0244010242823,stand
Drone_020.mp4#t=4.5,2462.121779983108,540.7750861826185,2508.337996199324,603.0255868501753,sit
Drone_020.mp4#t=4.5,2314.243296030405,527.7436582109481,2332.2522522522518,597.9157561644693,stand
Drone_020.mp4#t=4.5,2306.013601492117,504.28988651535377,2326.324341920045,537.4766355140187,sit
Drone_020.mp4#t=4.5,2043.7298528997744,509.7512210290805,2080.892015061937,567.0000528047814,sit
Drone_020.mp4#t=4.5,1762.7972797015766,602.2685423011933,1795.405493384009,703.491523854723,stand
Drone_020.mp4#t=4.5,1738.3783783783786,533.4347815316255,1767.2072072072074,640.2136181575435,stand
Drone_020.mp4#t=4.5,1718.198198198198,559.4659546061415,1761.6486310529276,660.4005340453939,stand
Drone_020.mp4#t=4.5,1049.3784311655404,711.7645369607393,1083.189312359234,824.0452797740738,walk
Drone_020.mp4#t=4.5,904.0270446227477,719.2535750792723,931.554054054054,832.0479323994493,stand
Drone_020.mp4#t=4.5,1014.6081432995495,622.3833796624666,1048.2027730855857,718.6317107706108,stand
Drone_020.mp4#t=4.5,926.567602759009,632.8462950600801,959.540575731982,688.0404047845044,sit
