"image","xmin","ymin","xmax","ymax","label"
"Drone_020.mp4#t=1.833333",2871.5936952714537,699.434543502665,2949.6042441987743,782.8738574446918,"sit"
"Drone_020.mp4#t=1.833333",2583.7619034588442,626.7617284471744,2648.3223648204903,766.7242631288333,"walk"
"Drone_020.mp4#t=1.833333",2820.4833214754817,734.4252798490435,2874.283671738179,839.3971808602877,"walk"
"Drone_020.mp4#t=1.833333",2807.033233909807,844.7803789655738,2863.5237658712786,947.0607322621568,"walk"
"Drone_020.mp4#t=1.833333",2040.3782426663747,478.72429393162236,2083.4186870621716,556.780358430381,"sit"
"Drone_020.mp4#t=1.833333",1731.0262286558668,572.9299527462398,1790.206737084063,691.3597976827176,"stand"
"Drone_020.mp4#t=1.833333",1653.0158849605955,535.2476686852001,1698.7461005910684,664.4439098322504,"stand"
"Drone_020.mp4#t=1.833333",1128.462367283275,626.7617284471744,1187.6427730954465,758.6495173088858,"stand"
"Drone_020.mp4#t=1.833333",1012.7916347416813,591.7709921007959,1071.9720405538528,739.8083752783659,"stand"
"Drone_020.mp4#t=1.833333",886.3607911011384,696.7429957880038,964.3713400284589,825.939236935054,"stand"
"Drone_020.mp4#t=1.833333",762.620026543345,852.8551247855213,835.2504173051664,960.5186761873905,"stand"
"Drone_020.mp4#t=1.833333",665.7793345008756,874.3878145307024,733.029772329247,982.0513659325716,"stand"
"Drone_020.mp4#t=1.833333",641.5692384522767,1019.7336499936113,719.5796847635727,1248.5186967225832,"stand"
"Drone_020.mp4#t=1.833333",550.1086019592819,1006.2757060683776,660.399278951401,1205.453317232221,"stand"
"Drone_020.mp4#t=1.833333",361.8073760398424,1235.0607527973496,426.3678374014886,1361.5654462297387,"stand"
"Drone_020.mp4#t=1.833333",254.20667551444834,1194.6869210216487,318.7670855680823,1369.64029472565,"stand"
"Drone_020.mp4#t=1.833333",211.16638504268826,1229.6775546920633,286.4868548872592,1391.172881794867,"stand"
"Drone_020.mp4#t=1.833333",17.48510357377408,1310.4252182434652,143.915947214317,1466.5374499169466,"stand"
